WLCverse,curr,ckind
6785,c25534,Verbal clauses
6785,c25535,Verbal clauses
6785,c25536,Verbal clauses
6786,c25537,Verbal clauses
6786,c25538,Verbal clauses
6787,c25539,Verbal clauses
6787,c25540,Verbal clauses
6787,c25541,Verbal clauses
6787,c25542,Verbal clauses
6788,c25543,Clauses without predication
6788,c25544,Verbal clauses
6788,c25545,Nominal clauses
6788,c25546,Verbal clauses
6789,c25547,Clauses without predication
6789,c25548,Verbal clauses
6789,c25549,Verbal clauses
6789,c25550,Verbal clauses
6789,c25551,Verbal clauses
6789,c25552,Verbal clauses
6789,c25553,Nominal clauses
6789,c25554,Verbal clauses
6789,c25555,Verbal clauses
6789,c25556,Verbal clauses
6790,c25557,Verbal clauses
6790,c25558,Nominal clauses
6790,c25559,Verbal clauses
6790,c25560,Verbal clauses
6791,c25561,Verbal clauses
6791,c25562,Verbal clauses
6791,c25563,Verbal clauses
6791,c25564,Nominal clauses
6791,c25565,Verbal clauses
6792,c25566,Verbal clauses
6792,c25567,Verbal clauses
6792,c25568,Verbal clauses
6792,c25569,Verbal clauses
6792,c25570,Verbal clauses
6793,c25571,Verbal clauses
6793,c25572,Verbal clauses
6793,c25573,Verbal clauses
6793,c25574,Verbal clauses
6793,c25575,Verbal clauses
6794,c25576,Verbal clauses
6794,c25577,Nominal clauses
6794,c25578,Verbal clauses
6794,c25579,Nominal clauses
6794,c25580,Verbal clauses
6794,c25581,Nominal clauses
6794,c25582,Verbal clauses
6794,c25583,Verbal clauses
6794,c25584,Verbal clauses
6795,c25585,Verbal clauses
6795,c25586,Verbal clauses
6796,c25587,Verbal clauses
6796,c25588,Verbal clauses
6796,c25589,Verbal clauses
6797,c25590,Verbal clauses
6797,c25591,Verbal clauses
6797,c25592,Verbal clauses
6798,c25593,Verbal clauses
6798,c25594,Verbal clauses
6798,c25595,Verbal clauses
6799,c25596,Verbal clauses
6799,c25597,Verbal clauses
6799,c25598,Verbal clauses
6799,c25599,Verbal clauses
6799,c25600,Nominal clauses
6799,c25601,Verbal clauses
6799,c25602,Verbal clauses
6799,c25603,Verbal clauses
6800,c25604,Verbal clauses
6800,c25605,Nominal clauses
6800,c25606,Verbal clauses
6800,c25607,Verbal clauses
6800,c25608,Verbal clauses
6800,c25609,Nominal clauses
6800,c25610,Verbal clauses
6801,c25611,Verbal clauses
6801,c25612,Verbal clauses
6801,c25613,Verbal clauses
6801,c25614,Nominal clauses
6801,c25615,Verbal clauses
6801,c25616,Verbal clauses
6801,c25617,Verbal clauses
6802,c25618,Verbal clauses
6802,c25619,Verbal clauses
6803,c25620,Verbal clauses
6803,c25621,Verbal clauses
6804,c25622,Verbal clauses
6804,c25623,Nominal clauses
6804,c25624,Verbal clauses
6804,c25625,Verbal clauses
6804,c25626,Verbal clauses
6804,c25627,Verbal clauses
6804,c25628,Verbal clauses
6804,c25629,Nominal clauses
6804,c25630,Verbal clauses
6804,c25631,Verbal clauses
6804,c25632,Verbal clauses
6804,c25633,Verbal clauses
6805,c25634,Verbal clauses
6805,c25635,Verbal clauses
6805,c25636,Verbal clauses
6805,c25637,Verbal clauses
6805,c25638,Verbal clauses
6806,c25639,Verbal clauses
6806,c25640,Verbal clauses
6806,c25641,Verbal clauses
6807,c25642,Verbal clauses
6807,c25643,Verbal clauses
6807,c25644,Verbal clauses
6807,c25645,Verbal clauses
6808,c25646,Verbal clauses
6808,c25647,Verbal clauses
6808,c25648,Verbal clauses
6808,c25649,Verbal clauses
6809,c25650,Verbal clauses
6809,c25651,Verbal clauses
6810,c25652,Verbal clauses
6810,c25653,Verbal clauses
6810,c25654,Verbal clauses
6810,c25655,Verbal clauses
6810,c25656,Verbal clauses
6810,c25657,Verbal clauses
6810,c25658,Verbal clauses
6810,c25659,Verbal clauses
6811,c25660,Verbal clauses
6811,c25661,Verbal clauses
6811,c25662,Verbal clauses
6811,c25663,Clauses without predication
6812,c25664,Verbal clauses
6812,c25665,Verbal clauses
6812,c25666,Verbal clauses
6813,c25667,Verbal clauses
6813,c25668,Verbal clauses
6814,c25669,Verbal clauses
6814,c25670,Verbal clauses
6814,c25671,Verbal clauses
6814,c25672,Verbal clauses
6815,c25673,Verbal clauses
6815,c25674,Verbal clauses
6815,c25675,Verbal clauses
6816,c25676,Verbal clauses
6816,c25677,Verbal clauses
6817,c25678,Verbal clauses
6817,c25679,Verbal clauses
6817,c25680,Nominal clauses
6817,c25681,Verbal clauses
6817,c25682,Nominal clauses
6818,c25683,Verbal clauses
6818,c25684,Verbal clauses
6819,c25685,Verbal clauses
6819,c25686,Verbal clauses
6819,c25687,Nominal clauses
6819,c25688,Verbal clauses
6819,c25689,Verbal clauses
6819,c25690,Verbal clauses
6820,c25691,Verbal clauses
6820,c25692,Verbal clauses
6821,c25693,Verbal clauses
6821,c25694,Verbal clauses
6821,c25695,Clauses without predication
6821,c25696,Nominal clauses
6821,c25697,Nominal clauses
6822,c25698,Verbal clauses
6822,c25699,Verbal clauses
6822,c25700,Verbal clauses
6823,c25701,Verbal clauses
6823,c25702,Verbal clauses
6823,c25703,Verbal clauses
6823,c25704,Verbal clauses
6823,c25705,Verbal clauses
6824,c25706,Verbal clauses
6824,c25707,Nominal clauses
6825,c25708,Verbal clauses
6825,c25709,Verbal clauses
6825,c25710,Verbal clauses
6826,c25711,Verbal clauses
6826,c25712,Verbal clauses
6826,c25713,Verbal clauses
6826,c25714,Verbal clauses
6827,c25715,Verbal clauses
6827,c25716,Verbal clauses
6827,c25717,Verbal clauses
6827,c25718,Verbal clauses
6828,c25719,Verbal clauses
6828,c25720,Verbal clauses
6828,c25721,Verbal clauses
6828,c25722,Nominal clauses
6828,c25723,Verbal clauses
6829,c25724,Verbal clauses
6829,c25725,Verbal clauses
6829,c25726,Verbal clauses
6830,c25727,Verbal clauses
6830,c25728,Verbal clauses
6830,c25729,Verbal clauses
6830,c25730,Verbal clauses
6831,c25731,Verbal clauses
6831,c25732,Clauses without predication
6831,c25733,Nominal clauses
6831,c25734,Verbal clauses
6831,c25735,Verbal clauses
6831,c25736,Verbal clauses
6832,c25737,Verbal clauses
6832,c25738,Nominal clauses
6832,c25739,Verbal clauses
6833,c25740,Verbal clauses
6833,c25741,Verbal clauses
6833,c25742,Verbal clauses
6833,c25743,Verbal clauses
6833,c25744,Verbal clauses
6833,c25745,Nominal clauses
6834,c25746,Verbal clauses
6834,c25747,Verbal clauses
6834,c25748,Verbal clauses
6834,c25749,Verbal clauses
6835,c25750,Verbal clauses
6835,c25751,Verbal clauses
6836,c25752,Verbal clauses
6836,c25753,Verbal clauses
6836,c25754,Verbal clauses
6836,c25755,Verbal clauses
6837,c25756,Verbal clauses
6837,c25757,Verbal clauses
6837,c25758,Verbal clauses
6837,c25759,Verbal clauses
6838,c25760,Verbal clauses
6838,c25761,Verbal clauses
6838,c25762,Verbal clauses
6838,c25763,Verbal clauses
6838,c25764,Verbal clauses
6839,c25765,Verbal clauses
6839,c25766,Verbal clauses
6839,c25767,Verbal clauses
6839,c25768,Verbal clauses
6839,c25769,Verbal clauses
6840,c25770,Verbal clauses
6840,c25771,Verbal clauses
6840,c25772,Verbal clauses
6840,c25773,Verbal clauses
6840,c25774,Verbal clauses
6841,c25775,Verbal clauses
6841,c25776,Verbal clauses
6841,c25777,Verbal clauses
6841,c25778,Nominal clauses
6841,c25779,Verbal clauses
6842,c25780,Verbal clauses
6842,c25781,Verbal clauses
6842,c25782,Verbal clauses
6843,c25783,Verbal clauses
6843,c25784,Verbal clauses
6843,c25785,Nominal clauses
6843,c25786,Verbal clauses
6843,c25787,Verbal clauses
6844,c25788,Verbal clauses
6844,c25789,Verbal clauses
6844,c25790,Verbal clauses
6844,c25791,Verbal clauses
6844,c25792,Verbal clauses
6845,c25793,Verbal clauses
6845,c25794,Verbal clauses
6846,c25795,Verbal clauses
6846,c25796,Verbal clauses
6846,c25797,Verbal clauses
6847,c25798,Nominal clauses
6847,c25799,Verbal clauses
6847,c25800,Verbal clauses
6847,c25801,Verbal clauses
6848,c25802,Verbal clauses
6848,c25803,Verbal clauses
6848,c25804,Verbal clauses
6848,c25805,Verbal clauses
6848,c25806,Verbal clauses
6848,c25807,Verbal clauses
6848,c25808,Verbal clauses
6849,c25809,Verbal clauses
6849,c25810,Verbal clauses
6849,c25811,Verbal clauses
6849,c25812,Verbal clauses
6849,c25813,Verbal clauses
6849,c25814,Nominal clauses
6850,c25815,Verbal clauses
6850,c25816,Verbal clauses
6850,c25817,Verbal clauses
6851,c25818,Verbal clauses
6851,c25819,Verbal clauses
6851,c25820,Verbal clauses
6851,c25821,Verbal clauses
6851,c25822,Verbal clauses
6852,c25823,Verbal clauses
6852,c25824,Verbal clauses
6852,c25825,Verbal clauses
6852,c25826,Verbal clauses
6853,c25827,Verbal clauses
6854,c25828,Clauses without predication
6854,c25829,Verbal clauses
6854,c25830,Verbal clauses
6855,c25831,Nominal clauses
6855,c25832,Clauses without predication
6855,c25833,Verbal clauses
6855,c25834,Clauses without predication
6855,c25835,Verbal clauses
6855,c25836,Verbal clauses
6856,c25837,Clauses without predication
6856,c25838,Nominal clauses
6856,c25839,Verbal clauses
6856,c25840,Verbal clauses
6857,c25841,Verbal clauses
6857,c25842,Nominal clauses
6857,c25843,Verbal clauses
6857,c25844,Verbal clauses
6858,c25845,Verbal clauses
6858,c25846,Verbal clauses
6858,c25847,Verbal clauses
6858,c25848,Verbal clauses
6859,c25849,Verbal clauses
6859,c25850,Verbal clauses
6860,c25851,Verbal clauses
6860,c25852,Verbal clauses
6860,c25853,Verbal clauses
6860,c25854,Verbal clauses
6861,c25855,Verbal clauses
6861,c25856,Verbal clauses
6861,c25857,Verbal clauses
6862,c25858,Verbal clauses
6862,c25859,Clauses without predication
6862,c25860,Verbal clauses
6862,c25861,Verbal clauses
6862,c25862,Verbal clauses
6862,c25863,Verbal clauses
6862,c25864,Verbal clauses
6863,c25865,Verbal clauses
6863,c25866,Verbal clauses
6863,c25867,Verbal clauses
6864,c25868,Verbal clauses
6864,c25869,Verbal clauses
6864,c25870,Verbal clauses
6864,c25871,Verbal clauses
6865,c25872,Verbal clauses
6865,c25873,Verbal clauses
6865,c25874,Verbal clauses
6865,c25875,Nominal clauses
6865,c25876,Nominal clauses
6866,c25877,Verbal clauses
6866,c25878,Verbal clauses
6866,c25879,Verbal clauses
6866,c25880,Verbal clauses
6866,c25881,Clauses without predication
6866,c25882,Verbal clauses
6866,c25883,Verbal clauses
6866,c25884,Verbal clauses
6866,c25885,Verbal clauses
6866,c25886,Verbal clauses
6867,c25887,Verbal clauses
6867,c25888,Clauses without predication
6867,c25889,Verbal clauses
6867,c25890,Verbal clauses
6867,c25891,Verbal clauses
6867,c25892,Verbal clauses
6868,c25893,Verbal clauses
6868,c25894,Verbal clauses
6868,c25895,Verbal clauses
6868,c25896,Verbal clauses
6868,c25897,Verbal clauses
6868,c25898,Verbal clauses
6869,c25899,Verbal clauses
6869,c25900,Verbal clauses
6869,c25901,Verbal clauses
6869,c25902,Verbal clauses
6869,c25903,Verbal clauses
6870,c25904,Verbal clauses
6870,c25905,Verbal clauses
6870,c25906,Verbal clauses
6870,c25907,Verbal clauses
6870,c25908,Verbal clauses
6870,c25909,Verbal clauses
6871,c25910,Verbal clauses
6871,c25911,Verbal clauses
6872,c25912,Verbal clauses
6872,c25913,Verbal clauses
6872,c25914,Verbal clauses
6872,c25915,Verbal clauses
6872,c25916,Verbal clauses
6872,c25917,Verbal clauses
6872,c25918,Verbal clauses
6872,c25919,Verbal clauses
6873,c25920,Verbal clauses
6873,c25921,Verbal clauses
6873,c25922,Verbal clauses
6873,c25923,Verbal clauses
6874,c25924,Verbal clauses
6874,c25925,Verbal clauses
6874,c25926,Verbal clauses
6874,c25927,Verbal clauses
6874,c25928,Verbal clauses
6874,c25929,Verbal clauses
6874,c25930,Verbal clauses
6875,c25931,Verbal clauses
6875,c25932,Verbal clauses
6875,c25933,Verbal clauses
6875,c25934,Verbal clauses
6875,c25935,Nominal clauses
6875,c25936,Clauses without predication
6875,c25937,Nominal clauses
6876,c25938,Verbal clauses
6876,c25939,Clauses without predication
6876,c25940,Verbal clauses
6876,c25941,Verbal clauses
6876,c25942,Verbal clauses
6876,c25943,Nominal clauses
6876,c25944,Verbal clauses
6876,c25945,Nominal clauses
6877,c25946,Verbal clauses
6877,c25947,Verbal clauses
6877,c25948,Nominal clauses
6877,c25949,Verbal clauses
6877,c25950,Nominal clauses
6877,c25951,Verbal clauses
6877,c25952,Verbal clauses
6877,c25953,Verbal clauses
6877,c25954,Verbal clauses
6877,c25955,Verbal clauses
6878,c25956,Verbal clauses
6878,c25957,Verbal clauses
6878,c25958,Verbal clauses
6879,c25959,Verbal clauses
6880,c25960,Verbal clauses
6880,c25961,Verbal clauses
6880,c25962,Verbal clauses
6880,c25963,Verbal clauses
6881,c25964,Verbal clauses
6881,c25965,Verbal clauses
6882,c25966,Verbal clauses
6882,c25967,Verbal clauses
6883,c25968,Verbal clauses
6883,c25969,Verbal clauses
6884,c25970,Verbal clauses
6885,c25971,Verbal clauses
6885,c25972,Verbal clauses
6885,c25973,Verbal clauses
6886,c25974,Verbal clauses
6886,c25975,Verbal clauses
6887,c25976,Verbal clauses
6887,c25977,Verbal clauses
6887,c25978,Nominal clauses
6887,c25979,Verbal clauses
6888,c25980,Verbal clauses
6888,c25981,Nominal clauses
6888,c25982,Nominal clauses
6888,c25983,Verbal clauses
6889,c25984,Verbal clauses
6889,c25985,Verbal clauses
6889,c25986,Nominal clauses
6889,c25987,Verbal clauses
6889,c25988,Verbal clauses
6889,c25989,Verbal clauses
6890,c25990,Verbal clauses
6890,c25991,Verbal clauses
6890,c25992,Verbal clauses
6891,c25993,Nominal clauses
6891,c25994,Verbal clauses
6891,c25995,Verbal clauses
6891,c25996,Verbal clauses
6891,c25997,Verbal clauses
6891,c25998,Verbal clauses
6892,c25999,Verbal clauses
6892,c26000,Verbal clauses
6892,c26001,Verbal clauses
6892,c26002,Verbal clauses
6892,c26003,Nominal clauses
6892,c26004,Verbal clauses
6892,c26005,Verbal clauses
6892,c26006,Nominal clauses
6892,c26007,Verbal clauses
6893,c26008,Verbal clauses
6893,c26009,Nominal clauses
6893,c26010,Verbal clauses
6893,c26011,Clauses without predication
6893,c26012,Verbal clauses
6893,c26013,Verbal clauses
6893,c26014,Verbal clauses
6894,c26015,Verbal clauses
6894,c26016,Verbal clauses
6894,c26017,Clauses without predication
6894,c26018,Verbal clauses
6894,c26019,Verbal clauses
6894,c26020,Verbal clauses
6894,c26021,Verbal clauses
6894,c26022,Verbal clauses
6894,c26023,Verbal clauses
6895,c26024,Verbal clauses
6895,c26025,Verbal clauses
6895,c26026,Verbal clauses
6895,c26027,Nominal clauses
6896,c26028,Verbal clauses
6896,c26029,Verbal clauses
6896,c26030,Verbal clauses
6896,c26031,Verbal clauses
6896,c26032,Verbal clauses
6896,c26033,Verbal clauses
6897,c26034,Verbal clauses
6897,c26035,Verbal clauses
6897,c26036,Verbal clauses
6897,c26037,Verbal clauses
6897,c26038,Nominal clauses
6897,c26039,Verbal clauses
6897,c26040,Verbal clauses
6897,c26041,Nominal clauses
6898,c26042,Verbal clauses
6898,c26043,Verbal clauses
6898,c26044,Verbal clauses
6899,c26045,Verbal clauses
6899,c26046,Verbal clauses
6899,c26047,Verbal clauses
6899,c26048,Verbal clauses
6900,c26049,Verbal clauses
6900,c26050,Verbal clauses
6900,c26051,Verbal clauses
6900,c26052,Verbal clauses
6900,c26053,Verbal clauses
6900,c26054,Verbal clauses
6900,c26055,Verbal clauses
6900,c26056,Verbal clauses
6901,c26057,Verbal clauses
6901,c26058,Verbal clauses
6901,c26059,Verbal clauses
6902,c26060,Verbal clauses
6902,c26061,Verbal clauses
6902,c26062,Verbal clauses
6902,c26063,Verbal clauses
6902,c26064,Verbal clauses
6902,c26065,Verbal clauses
6902,c26066,Nominal clauses
6903,c26067,Verbal clauses
6903,c26068,Nominal clauses
6903,c26069,Verbal clauses
6903,c26070,Verbal clauses
6904,c26071,Verbal clauses
6904,c26072,Verbal clauses
6904,c26073,Nominal clauses
6905,c26074,Verbal clauses
6905,c26075,Verbal clauses
6905,c26076,Verbal clauses
6905,c26077,Verbal clauses
6905,c26078,Verbal clauses
6906,c26079,Verbal clauses
6906,c26080,Verbal clauses
6906,c26081,Verbal clauses
6906,c26082,Nominal clauses
6906,c26083,Verbal clauses
6907,c26084,Verbal clauses
6907,c26085,Verbal clauses
6907,c26086,Verbal clauses
6907,c26087,Nominal clauses
6908,c26088,Verbal clauses
6908,c26089,Verbal clauses
6908,c26090,Verbal clauses
6909,c26091,Verbal clauses
6909,c26092,Verbal clauses
6909,c26093,Verbal clauses
6909,c26094,Verbal clauses
6909,c26095,Verbal clauses
6909,c26096,Verbal clauses
6910,c26097,Verbal clauses
6910,c26098,Verbal clauses
6910,c26099,Verbal clauses
6910,c26100,Verbal clauses
6911,c26101,Verbal clauses
6911,c26102,Verbal clauses
6912,c26103,Verbal clauses
6912,c26104,Verbal clauses
6913,c26105,Verbal clauses
6913,c26106,Verbal clauses
6913,c26107,Verbal clauses
6913,c26108,Verbal clauses
6913,c26109,Verbal clauses
6914,c26110,Verbal clauses
6914,c26111,Nominal clauses
6914,c26112,Verbal clauses
6914,c26113,Verbal clauses
6914,c26114,Verbal clauses
6914,c26115,Verbal clauses
6914,c26116,Verbal clauses
6915,c26117,Verbal clauses
6915,c26118,Nominal clauses
6915,c26119,Verbal clauses
6915,c26120,Verbal clauses
6916,c26121,Verbal clauses
6916,c26122,Verbal clauses
6916,c26123,Verbal clauses
6916,c26124,Verbal clauses
6917,c26125,Verbal clauses
6917,c26126,Verbal clauses
6917,c26127,Verbal clauses
6917,c26128,Nominal clauses
6917,c26129,Verbal clauses
6917,c26130,Verbal clauses
6918,c26131,Verbal clauses
6918,c26132,Verbal clauses
6918,c26133,Verbal clauses
6919,c26134,Verbal clauses
6919,c26135,Verbal clauses
6919,c26136,Verbal clauses
6919,c26137,Verbal clauses
6919,c26138,Nominal clauses
6919,c26139,Clauses without predication
6920,c26140,Verbal clauses
6920,c26141,Verbal clauses
6920,c26142,Verbal clauses
6920,c26143,Verbal clauses
6920,c26144,Verbal clauses
6920,c26145,Verbal clauses
6920,c26146,Verbal clauses
6921,c26147,Verbal clauses
6921,c26148,Verbal clauses
6921,c26149,Verbal clauses
6922,c26150,Verbal clauses
6922,c26151,Verbal clauses
6922,c26152,Verbal clauses
6922,c26153,Verbal clauses
6923,c26154,Verbal clauses
6923,c26155,Verbal clauses
6923,c26156,Verbal clauses
6923,c26157,Verbal clauses
6923,c26158,Verbal clauses
6924,c26159,Verbal clauses
6924,c26160,Verbal clauses
6924,c26161,Verbal clauses
6924,c26162,Verbal clauses
6924,c26163,Verbal clauses
6924,c26164,Verbal clauses
6925,c26165,Verbal clauses
6925,c26166,Verbal clauses
6925,c26167,Verbal clauses
6925,c26168,Verbal clauses
6925,c26169,Verbal clauses
6925,c26170,Verbal clauses
6926,c26171,Verbal clauses
6926,c26172,Verbal clauses
6926,c26173,Verbal clauses
6926,c26174,Verbal clauses
6926,c26175,Verbal clauses
6926,c26176,Verbal clauses
6926,c26177,Verbal clauses
6926,c26178,Nominal clauses
6927,c26179,Verbal clauses
6927,c26180,Verbal clauses
6927,c26181,Verbal clauses
6927,c26182,Verbal clauses
6927,c26183,Verbal clauses
6927,c26184,Verbal clauses
6927,c26185,Verbal clauses
6927,c26186,Verbal clauses
6927,c26187,Verbal clauses
6928,c26188,Verbal clauses
6928,c26189,Verbal clauses
6928,c26190,Verbal clauses
6928,c26191,Verbal clauses
6928,c26192,Verbal clauses
6928,c26193,Verbal clauses
6929,c26194,Verbal clauses
6929,c26195,Verbal clauses
6929,c26196,Nominal clauses
6929,c26197,Nominal clauses
6929,c26198,Verbal clauses
6929,c26199,Verbal clauses
6929,c26200,Verbal clauses
6930,c26201,Verbal clauses
6930,c26202,Verbal clauses
6930,c26203,Verbal clauses
6930,c26204,Verbal clauses
6930,c26205,Verbal clauses
6930,c26206,Verbal clauses
6930,c26207,Verbal clauses
6931,c26208,Verbal clauses
6931,c26209,Verbal clauses
6932,c26210,Verbal clauses
6932,c26211,Verbal clauses
6932,c26212,Verbal clauses
6932,c26213,Verbal clauses
6932,c26214,Verbal clauses
6932,c26215,Verbal clauses
6933,c26216,Verbal clauses
6933,c26217,Verbal clauses
6933,c26218,Verbal clauses
6933,c26219,Verbal clauses
6933,c26220,Nominal clauses
6933,c26221,Verbal clauses
6934,c26222,Verbal clauses
6934,c26223,Verbal clauses
6934,c26224,Verbal clauses
6935,c26225,Verbal clauses
6935,c26226,Verbal clauses
6935,c26227,Verbal clauses
6935,c26228,Verbal clauses
6935,c26229,Verbal clauses
6936,c26230,Verbal clauses
6936,c26231,Verbal clauses
6936,c26232,Verbal clauses
6937,c26233,Verbal clauses
6937,c26234,Verbal clauses
6937,c26235,Verbal clauses
6937,c26236,Nominal clauses
6937,c26237,Verbal clauses
6937,c26238,Verbal clauses
6937,c26239,Verbal clauses
6937,c26240,Verbal clauses
6938,c26241,Verbal clauses
6938,c26242,Verbal clauses
6938,c26243,Verbal clauses
6938,c26244,Verbal clauses
6939,c26245,Verbal clauses
6939,c26246,Nominal clauses
6939,c26247,Verbal clauses
6939,c26248,Verbal clauses
6940,c26249,Verbal clauses
6940,c26250,Verbal clauses
6940,c26251,Verbal clauses
6941,c26252,Verbal clauses
6941,c26253,Verbal clauses
6941,c26254,Verbal clauses
6941,c26255,Verbal clauses
6941,c26256,Verbal clauses
6941,c26257,Verbal clauses
6941,c26258,Verbal clauses
6942,c26259,Verbal clauses
6942,c26260,Verbal clauses
6942,c26261,Verbal clauses
6942,c26262,Verbal clauses
6942,c26263,Verbal clauses
6942,c26264,Verbal clauses
6942,c26265,Verbal clauses
6942,c26266,Verbal clauses
6943,c26267,Verbal clauses
6943,c26268,Verbal clauses
6943,c26269,Verbal clauses
6943,c26270,Verbal clauses
6943,c26271,Verbal clauses
6943,c26272,Verbal clauses
6943,c26273,Verbal clauses
6944,c26274,Verbal clauses
6944,c26275,Verbal clauses
6944,c26276,Nominal clauses
6944,c26277,Verbal clauses
6944,c26278,Verbal clauses
6944,c26279,Verbal clauses
6944,c26280,Verbal clauses
6944,c26281,Verbal clauses
6945,c26282,Verbal clauses
6945,c26283,Verbal clauses
6945,c26284,Verbal clauses
6945,c26285,Verbal clauses
6945,c26286,Verbal clauses
6945,c26287,Nominal clauses
6945,c26288,Verbal clauses
6945,c26289,Verbal clauses
6945,c26290,Verbal clauses
6946,c26291,Verbal clauses
6946,c26292,Verbal clauses
6946,c26293,Verbal clauses
6946,c26294,Verbal clauses
6947,c26295,Verbal clauses
6947,c26296,Clauses without predication
6947,c26297,Verbal clauses
6948,c26298,Verbal clauses
6948,c26299,Verbal clauses
6948,c26300,Verbal clauses
6948,c26301,Verbal clauses
6948,c26302,Verbal clauses
6949,c26303,Verbal clauses
6949,c26304,Verbal clauses
6949,c26305,Verbal clauses
6949,c26306,Verbal clauses
6949,c26307,Verbal clauses
6949,c26308,Verbal clauses
6950,c26309,Verbal clauses
6950,c26310,Nominal clauses
6950,c26311,Verbal clauses
6950,c26312,Verbal clauses
6950,c26313,Verbal clauses
6950,c26314,Verbal clauses
6950,c26315,Verbal clauses
6950,c26316,Nominal clauses
6950,c26317,Verbal clauses
6951,c26318,Verbal clauses
6952,c26319,Verbal clauses
6952,c26320,Verbal clauses
6952,c26321,Verbal clauses
6953,c26322,Nominal clauses
6953,c26323,Verbal clauses
6953,c26324,Verbal clauses
6953,c26325,Verbal clauses
6953,c26326,Verbal clauses
6953,c26327,Verbal clauses
6953,c26328,Verbal clauses
6953,c26329,Verbal clauses
6953,c26330,Verbal clauses
6954,c26331,Verbal clauses
6954,c26332,Verbal clauses
6954,c26333,Verbal clauses
6954,c26334,Verbal clauses
6954,c26335,Verbal clauses
6954,c26336,Verbal clauses
6954,c26337,Nominal clauses
6955,c26338,Verbal clauses
6955,c26339,Verbal clauses
6955,c26340,Nominal clauses
6956,c26341,Verbal clauses
6956,c26342,Verbal clauses
6956,c26343,Verbal clauses
6956,c26344,Verbal clauses
6956,c26345,Nominal clauses
6956,c26346,Verbal clauses
6956,c26347,Verbal clauses
6956,c26348,Verbal clauses
6956,c26349,Verbal clauses
6957,c26350,Verbal clauses
6957,c26351,Verbal clauses
6957,c26352,Nominal clauses
6957,c26353,Verbal clauses
6957,c26354,Verbal clauses
6958,c26355,Verbal clauses
6958,c26356,Verbal clauses
6958,c26357,Verbal clauses
6958,c26358,Verbal clauses
6958,c26359,Verbal clauses
6959,c26360,Verbal clauses
6959,c26361,Verbal clauses
6959,c26362,Verbal clauses
6960,c26363,Verbal clauses
6960,c26364,Verbal clauses
6960,c26365,Nominal clauses
6960,c26366,Clauses without predication
6960,c26367,Verbal clauses
6960,c26368,Verbal clauses
6960,c26369,Verbal clauses
6960,c26370,Verbal clauses
6961,c26371,Verbal clauses
6961,c26372,Verbal clauses
6961,c26373,Verbal clauses
6961,c26374,Verbal clauses
6961,c26375,Verbal clauses
6962,c26376,Verbal clauses
6962,c26377,Verbal clauses
6962,c26378,Verbal clauses
6962,c26379,Verbal clauses
6962,c26380,Verbal clauses
6963,c26381,Verbal clauses
6963,c26382,Verbal clauses
6963,c26383,Verbal clauses
6963,c26384,Nominal clauses
6963,c26385,Clauses without predication
6963,c26386,Verbal clauses
6963,c26387,Verbal clauses
6964,c26388,Verbal clauses
6964,c26389,Verbal clauses
6964,c26390,Verbal clauses
6964,c26391,Verbal clauses
6964,c26392,Verbal clauses
6964,c26393,Verbal clauses
6964,c26394,Verbal clauses
6965,c26395,Verbal clauses
6965,c26396,Verbal clauses
6965,c26397,Nominal clauses
6965,c26398,Clauses without predication
6965,c26399,Verbal clauses
6965,c26400,Verbal clauses
6966,c26401,Verbal clauses
6966,c26402,Verbal clauses
6966,c26403,Verbal clauses
6966,c26404,Nominal clauses
6966,c26405,Verbal clauses
6966,c26406,Verbal clauses
6966,c26407,Nominal clauses
6967,c26408,Clauses without predication
6967,c26409,Verbal clauses
6967,c26410,Verbal clauses
6967,c26411,Verbal clauses
6967,c26412,Verbal clauses
6968,c26413,Verbal clauses
6968,c26414,Verbal clauses
6968,c26415,Verbal clauses
6968,c26416,Nominal clauses
6968,c26417,Verbal clauses
6968,c26418,Verbal clauses
6968,c26419,Verbal clauses
6968,c26420,Verbal clauses
6969,c26421,Verbal clauses
6969,c26422,Verbal clauses
6969,c26423,Verbal clauses
6969,c26424,Verbal clauses
6969,c26425,Verbal clauses
6969,c26426,Verbal clauses
6969,c26427,Verbal clauses
6969,c26428,Verbal clauses
6969,c26429,Verbal clauses
6970,c26430,Verbal clauses
6970,c26431,Verbal clauses
6970,c26432,Verbal clauses
6970,c26433,Verbal clauses
6970,c26434,Verbal clauses
6970,c26435,Verbal clauses
6971,c26436,Verbal clauses
6971,c26437,Nominal clauses
6971,c26438,Clauses without predication
6971,c26439,Verbal clauses
6971,c26440,Verbal clauses
6971,c26441,Verbal clauses
6971,c26442,Verbal clauses
6971,c26443,Verbal clauses
6971,c26444,Verbal clauses
6972,c26445,Verbal clauses
6972,c26446,Verbal clauses
6972,c26447,Verbal clauses
6972,c26448,Verbal clauses
6972,c26449,Verbal clauses
6973,c26450,Verbal clauses
6973,c26451,Verbal clauses
6973,c26452,Verbal clauses
6974,c26453,Verbal clauses
6974,c26454,Verbal clauses
6974,c26455,Nominal clauses
6974,c26456,Verbal clauses
6974,c26457,Verbal clauses
6975,c26458,Verbal clauses
6975,c26459,Verbal clauses
6975,c26460,Verbal clauses
6975,c26461,Verbal clauses
6975,c26462,Verbal clauses
6976,c26463,Verbal clauses
6976,c26464,Verbal clauses
6976,c26465,Verbal clauses
