WLCverse,curr,ckind
61,c246,Clauses without predication
61,c247,Verbal clauses
61,c248,Verbal clauses
61,c249,Verbal clauses
61,c250,Nominal clauses
62,c251,Verbal clauses
62,c252,Nominal clauses
62,c253,Nominal clauses
62,c254,Verbal clauses
62,c255,Verbal clauses
62,c256,Verbal clauses
62,c257,Verbal clauses
62,c258,Verbal clauses
62,c259,Verbal clauses
63,c260,Verbal clauses
63,c261,Verbal clauses
63,c262,Nominal clauses
63,c263,Verbal clauses
63,c264,Verbal clauses
64,c265,Verbal clauses
64,c266,Verbal clauses
64,c267,Verbal clauses
65,c268,Verbal clauses
65,c269,Verbal clauses
65,c270,Nominal clauses
66,c271,Verbal clauses
66,c272,Verbal clauses
66,c273,Verbal clauses
66,c274,Nominal clauses
66,c275,Verbal clauses
67,c276,Verbal clauses
67,c277,Verbal clauses
67,c278,Nominal clauses
67,c279,Verbal clauses
67,c280,Verbal clauses
67,c281,Verbal clauses
67,c282,Verbal clauses
68,c283,Verbal clauses
68,c284,Clauses without predication
68,c285,Verbal clauses
68,c286,Verbal clauses
68,c287,Verbal clauses
69,c288,Verbal clauses
69,c289,Verbal clauses
69,c290,Verbal clauses
69,c291,Verbal clauses
69,c292,Verbal clauses
70,c293,Verbal clauses
70,c294,Verbal clauses
70,c295,Verbal clauses
70,c296,Verbal clauses
70,c297,Verbal clauses
71,c298,Verbal clauses
71,c299,Verbal clauses
71,c300,Verbal clauses
72,c301,Verbal clauses
72,c302,Verbal clauses
72,c303,Verbal clauses
72,c304,Nominal clauses
72,c305,Verbal clauses
73,c306,Verbal clauses
73,c307,Verbal clauses
73,c308,Verbal clauses
73,c309,Verbal clauses
73,c310,Verbal clauses
73,c311,Verbal clauses
73,c312,Verbal clauses
73,c313,Verbal clauses
74,c314,Verbal clauses
74,c315,Verbal clauses
75,c316,Verbal clauses
75,c317,Verbal clauses
75,c318,Verbal clauses
75,c319,Nominal clauses
75,c320,Verbal clauses
76,c321,Verbal clauses
76,c322,Verbal clauses
77,c323,Verbal clauses
77,c324,Verbal clauses
78,c325,Verbal clauses
78,c326,Verbal clauses
78,c327,Verbal clauses
78,c328,Clauses without predication
78,c329,Verbal clauses
78,c330,Verbal clauses
78,c331,Verbal clauses
78,c332,Verbal clauses
79,c333,Verbal clauses
79,c334,Verbal clauses
79,c335,Verbal clauses
80,c336,Verbal clauses
80,c337,Verbal clauses
80,c338,Verbal clauses
80,c339,Verbal clauses
81,c340,Verbal clauses
81,c341,Verbal clauses
81,c342,Verbal clauses
81,c343,Verbal clauses
81,c344,Verbal clauses
82,c345,Verbal clauses
82,c346,Verbal clauses
82,c347,Verbal clauses
82,c348,Verbal clauses
83,c349,Verbal clauses
83,c350,Verbal clauses
84,c351,Verbal clauses
84,c352,Verbal clauses
85,c353,Verbal clauses
85,c354,Verbal clauses
85,c355,Verbal clauses
86,c356,Verbal clauses
86,c357,Verbal clauses
86,c358,Verbal clauses
87,c359,Nominal clauses
87,c360,Verbal clauses
87,c361,Nominal clauses
87,c362,Verbal clauses
87,c363,Verbal clauses
87,c364,Nominal clauses
87,c365,Verbal clauses
88,c366,Verbal clauses
88,c367,Verbal clauses
88,c368,Verbal clauses
88,c369,Verbal clauses
88,c370,Verbal clauses
89,c371,Verbal clauses
89,c372,Nominal clauses
89,c373,Verbal clauses
89,c374,Verbal clauses
89,c375,Verbal clauses
90,c376,Verbal clauses
90,c377,Verbal clauses
90,c378,Verbal clauses
91,c379,Clauses without predication
91,c380,Verbal clauses
91,c381,Verbal clauses
91,c382,Verbal clauses
92,c383,Verbal clauses
92,c384,Verbal clauses
92,c385,Verbal clauses
92,c386,Verbal clauses
93,c387,Verbal clauses
93,c388,Nominal clauses
93,c389,Verbal clauses
94,c390,Verbal clauses
94,c391,Verbal clauses
94,c392,Verbal clauses
94,c393,Clauses without predication
94,c394,Verbal clauses
94,c395,Verbal clauses
94,c396,Verbal clauses
95,c397,Verbal clauses
95,c398,Nominal clauses
95,c399,Verbal clauses
95,c400,Verbal clauses
95,c401,Verbal clauses
96,c402,Verbal clauses
96,c403,Verbal clauses
97,c404,Verbal clauses
97,c405,Verbal clauses
97,c406,Verbal clauses
97,c407,Verbal clauses
97,c408,Verbal clauses
97,c409,Verbal clauses
98,c410,Verbal clauses
98,c411,Verbal clauses
98,c412,Verbal clauses
98,c413,Verbal clauses
99,c414,Verbal clauses
99,c415,Nominal clauses
99,c416,Nominal clauses
100,c417,Verbal clauses
100,c418,Verbal clauses
101,c419,Nominal clauses
101,c420,Verbal clauses
102,c421,Verbal clauses
102,c422,Nominal clauses
102,c423,Nominal clauses
103,c424,Verbal clauses
103,c425,Verbal clauses
103,c426,Clauses without predication
103,c427,Verbal clauses
103,c428,Verbal clauses
103,c429,Clauses without predication
104,c430,Verbal clauses
104,c431,Clauses without predication
105,c432,Verbal clauses
105,c433,Verbal clauses
105,c434,Verbal clauses
105,c435,Verbal clauses
105,c436,Verbal clauses
106,c437,Verbal clauses
106,c438,Verbal clauses
106,c439,Verbal clauses
106,c440,Verbal clauses
107,c441,Nominal clauses
107,c442,Verbal clauses
107,c443,Verbal clauses
107,c444,Verbal clauses
108,c445,Verbal clauses
108,c446,Verbal clauses
108,c447,Verbal clauses
108,c448,Verbal clauses
109,c449,Verbal clauses
109,c450,Verbal clauses
109,c451,Verbal clauses
110,c452,Verbal clauses
110,c453,Verbal clauses
110,c454,Verbal clauses
110,c455,Verbal clauses
111,c456,Verbal clauses
111,c457,Verbal clauses
111,c458,Verbal clauses
111,c459,Verbal clauses
112,c460,Verbal clauses
112,c461,Verbal clauses
113,c462,Verbal clauses
113,c463,Verbal clauses
113,c464,Verbal clauses
113,c465,Verbal clauses
114,c466,Verbal clauses
114,c467,Verbal clauses
115,c468,Verbal clauses
115,c469,Verbal clauses
116,c470,Verbal clauses
116,c471,Verbal clauses
116,c472,Verbal clauses
116,c473,Verbal clauses
117,c474,Verbal clauses
117,c475,Verbal clauses
118,c476,Verbal clauses
118,c477,Verbal clauses
119,c478,Verbal clauses
119,c479,Verbal clauses
119,c480,Verbal clauses
119,c481,Verbal clauses
120,c482,Verbal clauses
120,c483,Verbal clauses
121,c484,Verbal clauses
121,c485,Verbal clauses
122,c486,Verbal clauses
122,c487,Verbal clauses
122,c488,Verbal clauses
122,c489,Verbal clauses
123,c490,Verbal clauses
123,c491,Verbal clauses
124,c492,Verbal clauses
124,c493,Verbal clauses
125,c494,Verbal clauses
125,c495,Verbal clauses
125,c496,Verbal clauses
125,c497,Verbal clauses
126,c498,Verbal clauses
126,c499,Verbal clauses
127,c500,Verbal clauses
127,c501,Verbal clauses
128,c502,Verbal clauses
