WLCverse,curr,ctype
5440,c20200,Macrosyntactic sign
5440,c20201,x-yiqtol-null clause
5440,c20202,We-qatal-null clause
5440,c20203,We-qatal-null clause
5440,c20204,X-yiqtol clause
5440,c20205,Participle clause
5440,c20206,X-yiqtol clause
5440,c20207,We-qatal-null clause
5441,c20208,We-x-yiqtol-null clause
5441,c20209,We-qatal-null clause
5441,c20210,We-qatal-null clause
5442,c20211,We-qatal-X clause
5442,c20212,We-qatal-null clause
5443,c20213,x-yiqtol-null clause
5443,c20214,x-yiqtol-null clause
5443,c20215,x-yiqtol-null clause
5443,c20216,We-qatal-null clause
5443,c20217,x-qatal-X clause
5444,c20218,x-yiqtol-null clause
5444,c20219,Adjective clause
5444,c20220,Nominal clause
5445,c20221,x-yiqtol-null clause
5445,c20222,Participle clause
5445,c20223,x-yiqtol-null clause
5446,c20224,x-yiqtol-null clause
5446,c20225,x-qatal-X clause
5447,c20226,x-yiqtol-null clause
5447,c20227,Infinitive construct clause
5447,c20228,x-qatal-null clause
5447,c20229,We-qatal-null clause
5448,c20230,x-yiqtol-null clause
5448,c20231,Infinitive construct clause
5448,c20232,Infinitive construct clause
5448,c20233,x-yiqtol-null clause
5448,c20234,Infinitive construct clause
5448,c20235,x-yiqtol-null clause
5448,c20236,We-x-yiqtol-null clause
5448,c20237,Nominal clause
5448,c20238,Infinitive construct clause
5449,c20239,Casus pendens
5449,c20240,x-yiqtol-null clause
5449,c20241,Nominal clause
5449,c20242,x-yiqtol-null clause
5449,c20243,We-qatal-null clause
5449,c20244,We-qatal-null clause
5449,c20245,Participle clause
5449,c20246,Infinitive construct clause
5450,c20247,x-yiqtol-X clause
5450,c20248,Participle clause
5450,c20249,Infinitive construct clause
5450,c20250,Participle clause
5450,c20251,x-qatal-X clause
5450,c20252,X-qatal clause
5451,c20253,We-qatal-X clause
5451,c20254,We-qatal-null clause
5451,c20255,Nominal clause
5452,c20256,Macrosyntactic sign
5452,c20257,Casus pendens
5452,c20258,Adjective clause
5452,c20259,We-qatal-X clause
5452,c20260,x-qatal-null clause
5452,c20261,x-qatal-null clause
5453,c20262,We-qatal-X clause
5453,c20263,x-yiqtol-null clause
5453,c20264,We-x-yiqtol-null clause
5453,c20265,We-qatal-null clause
5454,c20266,We-qatal-X clause
5454,c20267,x-qatal-X clause
5454,c20268,Infinitive construct clause
5454,c20269,Infinitive construct clause
5454,c20270,We-x-yiqtol-X clause
5455,c20271,We-X-yiqtol clause
5455,c20272,Adjective clause
5455,c20273,We-X-yiqtol clause
5455,c20274,Adjective clause
5456,c20275,We-qatal-null clause
5456,c20276,We-qatal-null clause
5456,c20277,X-qatal clause
5456,c20278,We-X-qatal clause
5457,c20279,Zero-imperative-null clause
5457,c20280,x-qatal-null clause
5457,c20281,Vocative clause
5457,c20282,We-x-yiqtol-null clause
5457,c20283,We-qatal-X clause
5458,c20284,We-X-yiqtol clause
5458,c20285,x-yiqtol-null clause
5458,c20286,Adjective clause
5459,c20287,x-yiqtol-null clause
5459,c20288,We-qatal-X clause
5459,c20289,We-qatal-null clause
5460,c20290,We-qatal-null clause
5460,c20291,We-qatal-null clause
5460,c20292,We-qatal-null clause
5461,c20293,We-qatal-null clause
5461,c20294,We-qatal-null clause
5461,c20295,We-qatal-null clause
5462,c20296,We-qatal-null clause
5462,c20297,We-qatal-null clause
5462,c20298,We-qatal-null clause
5462,c20299,We-x-yiqtol-null clause
5462,c20300,We-qatal-null clause
5462,c20301,We-qatal-null clause
5463,c20302,Macrosyntactic sign
5463,c20303,x-qatal-null clause
5463,c20304,We-qatal-null clause
5463,c20305,We-x-yiqtol-null clause
5463,c20306,x-yiqtol-null clause
5463,c20307,x-qatal-null clause
5464,c20308,x-yiqtol-X clause
5464,c20309,Adjective clause
5464,c20310,Adjective clause
5464,c20311,We-qatal-X clause
5464,c20312,We-qatal-X clause
5465,c20313,Macrosyntactic sign
5465,c20314,x-yiqtol-null clause
5465,c20315,Infinitive construct clause
5465,c20316,x-yiqtol-null clause
5465,c20317,x-yiqtol-null clause
5465,c20318,Infinitive construct clause
5466,c20319,x-yiqtol-null clause
5466,c20320,Infinitive construct clause
5466,c20321,x-yiqtol-null clause
5466,c20322,Nominal clause
5466,c20323,Nominal clause
5467,c20324,x-yiqtol-X clause
5467,c20325,Participle clause
5467,c20326,We-qatal-null clause
5467,c20327,We-x-yiqtol-null clause
5468,c20328,We-qatal-X clause
5468,c20329,We-qatal-null clause
5469,c20330,We-qatal-null clause
5469,c20331,Adjective clause
5469,c20332,Participle clause
5469,c20333,Adjective clause
5470,c20334,We-qatal-X clause
5470,c20335,We-qatal-null clause
5470,c20336,We-qatal-null clause
5470,c20337,We-X-yiqtol clause
5470,c20338,We-yiqtol-null clause
5471,c20339,We-x-yiqtol-X clause
5471,c20340,We-qatal-null clause
5471,c20341,We-qatal-null clause
5472,c20342,x-yiqtol-X clause
5472,c20343,x-yiqtol-null clause
5472,c20344,Nominal clause
5472,c20345,We-x-yiqtol-null clause
5472,c20346,Participle clause
5473,c20347,x-yiqtol-null clause
5473,c20348,Participle clause
5473,c20349,We-qatal-null clause
5473,c20350,x-yiqtol-null clause
5474,c20351,Adjective clause
5474,c20352,We-x-qatal-null clause
5474,c20353,We-qatal-null clause
5474,c20354,We-qatal-null clause
5474,c20355,Infinitive construct clause
5474,c20356,We-qatal-null clause
5475,c20357,We-x-yiqtol-null clause
5475,c20358,We-x-yiqtol-null clause
5475,c20359,We-x-yiqtol-null clause
5475,c20360,x-yiqtol-null clause
5475,c20361,We-qatal-null clause
5475,c20362,x-yiqtol-null clause
5475,c20363,Infinitive construct clause
5476,c20364,x-yiqtol-null clause
5476,c20365,Participle clause
5476,c20366,We-qatal-null clause
5476,c20367,x-yiqtol-null clause
5477,c20368,x-yiqtol-X clause
5477,c20369,We-x-yiqtol-X clause
5477,c20370,Nominal clause
5477,c20371,Participle clause
5478,c20372,x-yiqtol-X clause
5478,c20373,Participle clause
5478,c20374,x-yiqtol-null clause
5479,c20375,x-yiqtol-null clause
5479,c20376,We-x-yiqtol-null clause
5479,c20377,x-yiqtol-null clause
5479,c20378,We-qatal-null clause
5480,c20379,x-yiqtol-null clause
5480,c20380,We-qatal-null clause
5480,c20381,We-x-yiqtol-null clause
5480,c20382,x-yiqtol-X clause
5480,c20383,Participle clause
5481,c20384,x-yiqtol-null clause
5481,c20385,x-yiqtol-X clause
5481,c20386,Ellipsis
5481,c20387,x-yiqtol-null clause
5481,c20388,Ellipsis
5482,c20389,x-yiqtol-null clause
5483,c20390,x-yiqtol-null clause
5484,c20391,x-yiqtol-null clause
5484,c20392,x-yiqtol-null clause
5485,c20393,x-yiqtol-X clause
5485,c20394,We-qatal-null clause
5485,c20395,We-qatal-null clause
5486,c20396,We-qatal-null clause
5486,c20397,We-qatal-null clause
5486,c20398,We-qatal-null clause
5486,c20399,x-qatal-null clause
5486,c20400,Wayyiqtol-null clause
5486,c20401,We-x-qatal-null clause
5487,c20402,We-qatal-X clause
5487,c20403,We-qatal-null clause
5488,c20404,We-qatal-X clause
5488,c20405,x-qatal-null clause
5488,c20406,Wayyiqtol-null clause
5489,c20407,Macrosyntactic sign
5489,c20408,X-qatal clause
5489,c20409,Infinitive construct clause
5489,c20410,x-qatal-null clause
5489,c20411,Nominal clause
5489,c20412,We-qatal-null clause
5490,c20413,We-qatal-X clause
5490,c20414,We-qatal-null clause
5491,c20415,We-qatal-null clause
5491,c20416,We-qatal-null clause
5491,c20417,x-qatal-null clause
5491,c20418,We-x-yiqtol-null clause
5491,c20419,x-yiqtol-null clause
5491,c20420,Infinitive construct clause
5492,c20421,We-x-qatal-X clause
5492,c20422,x-qatal-X clause
5493,c20423,We-qatal-null clause
5493,c20424,We-qatal-X clause
5493,c20425,We-qatal-null clause
5493,c20426,x-qatal-null clause
5493,c20427,Infinitive construct clause
5493,c20428,We-qatal-null clause
5494,c20429,x-yiqtol-X clause
5494,c20430,Participle clause
5494,c20431,We-qatal-X clause
5494,c20432,Ellipsis
5494,c20433,Participle clause
5494,c20434,Ellipsis
5494,c20435,We-qatal-null clause
5495,c20436,x-yiqtol-X clause
5495,c20437,Participle clause
5495,c20438,We-qatal-X clause
5495,c20439,We-qatal-null clause
5496,c20440,We-qatal-null clause
5496,c20441,We-qatal-null clause
5496,c20442,We-qatal-null clause
5496,c20443,Ellipsis
5496,c20444,x-qatal-null clause
5496,c20445,Ellipsis
5496,c20446,x-qatal-null clause
5496,c20447,We-qatal-null clause
5497,c20448,We-x-yiqtol-X clause
5497,c20449,We-qatal-X clause
5497,c20450,We-qatal-null clause
5497,c20451,We-qatal-X clause
5497,c20452,x-qatal-null clause
5497,c20453,Nominal clause
5498,c20454,We-x-yiqtol-null clause
5498,c20455,Nominal clause
5498,c20456,Nominal clause
5498,c20457,x-yiqtol-X clause
5498,c20458,We-qatal-null clause
5498,c20459,Nominal clause
5499,c20460,x-qatal-null clause
5499,c20461,Zero-qatal-X clause
5499,c20462,Nominal clause
5500,c20463,x-yiqtol-X clause
5500,c20464,x-qatal-null clause
5500,c20465,We-qatal-null clause
5500,c20466,We-qatal-null clause
5500,c20467,We-qatal-null clause
5501,c20468,We-qatal-X clause
5501,c20469,Participle clause
5501,c20470,We-qatal-X clause
5501,c20471,We-x-yiqtol-null clause
5501,c20472,x-qatal-null clause
5501,c20473,x-yiqtol-X clause
5501,c20474,Infinitive construct clause
5502,c20475,x-yiqtol-X clause
5502,c20476,We-x-yiqtol-null clause
5503,c20477,x-yiqtol-X clause
5504,c20478,x-yiqtol-X clause
5504,c20479,X-yiqtol clause
5505,c20480,x-yiqtol-X clause
5505,c20481,X-yiqtol clause
5506,c20482,x-qatal-null clause
5506,c20483,Infinitive construct clause
5506,c20484,We-x-qatal-null clause
5506,c20485,Infinitive construct clause
5507,c20486,We-x-qatal-X clause
5507,c20487,Infinitive construct clause
5507,c20488,Wayyiqtol-X clause
5507,c20489,x-qatal-X clause
5508,c20490,x-yiqtol-null clause
5509,c20491,x-yiqtol-null clause
5509,c20492,Nominal clause
5509,c20493,x-yiqtol-null clause
5509,c20494,x-qatal-null clause
5510,c20495,Casus pendens
5510,c20496,x-yiqtol-null clause
5510,c20497,X-yiqtol clause
5511,c20498,x-yiqtol-null clause
5511,c20499,We-qatal-null clause
5512,c20500,x-yiqtol-X clause
5512,c20501,x-yiqtol-null clause
5512,c20502,We-qatal-null clause
5512,c20503,x-yiqtol-null clause
5513,c20504,We-qatal-null clause
5513,c20505,Infinitive construct clause
5513,c20506,Zero-yiqtol-null clause
5513,c20507,Ellipsis
5513,c20508,Infinitive construct clause
5513,c20509,Zero-yiqtol-null clause
5514,c20510,We-X-yiqtol clause
5514,c20511,We-qatal-null clause
5515,c20512,We-X-yiqtol clause
5515,c20513,We-qatal-null clause
5515,c20514,Infinitive construct clause
5515,c20515,We-qatal-null clause
5515,c20516,We-qatal-null clause
5515,c20517,We-qatal-null clause
5516,c20518,Participle clause
5516,c20519,Infinitive construct clause
5516,c20520,Infinitive construct clause
5516,c20521,We-qatal-X clause
5516,c20522,We-x-yiqtol-null clause
5516,c20523,We-qatal-null clause
5517,c20524,x-yiqtol-null clause
5517,c20525,x-yiqtol-null clause
5518,c20526,x-yiqtol-null clause
5518,c20527,x-yiqtol-null clause
5518,c20528,Adjective clause
5518,c20529,x-yiqtol-null clause
5519,c20530,x-yiqtol-X clause
5519,c20531,We-x-yiqtol-X clause
5520,c20532,x-yiqtol-null clause
5520,c20533,Nominal clause
5521,c20534,x-yiqtol-null clause
5521,c20535,x-yiqtol-null clause
5522,c20536,x-yiqtol-null clause
5522,c20537,We-x-yiqtol-null clause
5522,c20538,x-yiqtol-X clause
5522,c20539,Participle clause
5522,c20540,Infinitive construct clause
5523,c20541,x-yiqtol-null clause
5523,c20542,x-yiqtol-null clause
5523,c20543,Infinitive construct clause
5523,c20544,x-yiqtol-X clause
5523,c20545,We-qatal-X clause
5524,c20546,We-x-yiqtol-null clause
5524,c20547,Infinitive construct clause
5524,c20548,x-yiqtol-X clause
5525,c20549,x-yiqtol-null clause
5525,c20550,We-qatal-null clause
5525,c20551,x-qatal-null clause
5525,c20552,x-qatal-null clause
5526,c20553,x-yiqtol-null clause
5526,c20554,We-qatal-null clause
5526,c20555,We-x-yiqtol-null clause
5527,c20556,x-yiqtol-null clause
5527,c20557,We-qatal-null clause
5527,c20558,We-x-yiqtol-null clause
5528,c20559,x-yiqtol-X clause
5528,c20560,We-qatal-null clause
5528,c20561,Macrosyntactic sign
5528,c20562,x-yiqtol-null clause
5528,c20563,x-qatal-null clause
5528,c20564,We-qatal-null clause
5528,c20565,We-qatal-null clause
5528,c20566,We-qatal-null clause
5529,c20567,We-qatal-null clause
5529,c20568,We-qatal-null clause
5529,c20569,We-qatal-null clause
5530,c20570,We-qatal-X clause
5530,c20571,We-qatal-null clause
5530,c20572,We-qatal-null clause
5530,c20573,We-qatal-null clause
5530,c20574,x-yiqtol-X clause
5530,c20575,x-qatal-null clause
5531,c20576,x-yiqtol-X clause
5531,c20577,x-qatal-null clause
5531,c20578,Infinitive construct clause
5531,c20579,Infinitive construct clause
5531,c20580,Infinitive construct clause
5531,c20581,x-qatal-null clause
5531,c20582,Nominal clause
5531,c20583,We-x-yiqtol-null clause
5531,c20584,Participle clause
5532,c20585,x-yiqtol-X clause
5532,c20586,x-yiqtol-null clause
5532,c20587,We-x-yiqtol-null clause
5532,c20588,x-yiqtol-null clause
5532,c20589,We-qatal-null clause
5532,c20590,x-qatal-null clause
5533,c20591,x-yiqtol-null clause
5533,c20592,Participle clause
5534,c20593,x-yiqtol-X clause
5534,c20594,Participle clause
5534,c20595,We-qatal-null clause
5534,c20596,We-qatal-null clause
5534,c20597,We-qatal-X clause
5534,c20598,We-qatal-null clause
5535,c20599,Zero-imperative-null clause
5535,c20600,Infinitive construct clause
5535,c20601,Infinitive construct clause
5535,c20602,x-yiqtol-X clause
5535,c20603,x-qatal-null clause
5535,c20604,x-yiqtol-null clause
5535,c20605,Infinitive construct clause
5536,c20606,Infinitive absolute clause
5536,c20607,x-qatal-X clause
5536,c20608,Infinitive construct clause
5537,c20609,x-yiqtol-null clause
5537,c20610,x-yiqtol-null clause
5537,c20611,Infinitive construct clause
5538,c20612,x-yiqtol-null clause
5538,c20613,We-X-yiqtol clause
5538,c20614,Participle clause
5538,c20615,We-X-yiqtol clause
5539,c20616,Nominal clause
5539,c20617,x-yiqtol-null clause
5540,c20618,x-yiqtol-null clause
5540,c20619,Infinitive construct clause
5540,c20620,We-qatal-null clause
5540,c20621,We-qatal-null clause
5540,c20622,We-x-yiqtol-X clause
5541,c20623,x-yiqtol-null clause
5541,c20624,Nominal clause
5542,c20625,x-yiqtol-null clause
5542,c20626,We-x-yiqtol-X clause
5542,c20627,Adjective clause
5542,c20628,Participle clause
5542,c20629,We-x-yiqtol-null clause
5542,c20630,We-qatal-X clause
5543,c20631,x-yiqtol-X clause
5543,c20632,We-X-yiqtol clause
5543,c20633,Ellipsis
5543,c20634,x-yiqtol-null clause
5544,c20635,x-yiqtol-null clause
5544,c20636,We-x-yiqtol-null clause
5545,c20637,We-qatal-null clause
5545,c20638,x-qatal-null clause
5545,c20639,Wayyiqtol-X clause
5545,c20640,Participle clause
5545,c20641,Infinitive construct clause
5546,c20642,x-yiqtol-null clause
5546,c20643,We-qatal-null clause
5546,c20644,x-yiqtol-null clause
5546,c20645,Infinitive construct clause
5546,c20646,x-yiqtol-null clause
5546,c20647,x-yiqtol-X clause
5547,c20648,x-yiqtol-null clause
5547,c20649,x-yiqtol-null clause
5547,c20650,x-yiqtol-null clause
5548,c20651,x-yiqtol-null clause
5548,c20652,x-yiqtol-null clause
5548,c20653,x-yiqtol-null clause
5549,c20654,We-qatal-null clause
5549,c20655,x-qatal-null clause
5549,c20656,Participle clause
5549,c20657,Infinitive construct clause
5550,c20658,x-yiqtol-X clause
5550,c20659,We-qatal-null clause
5550,c20660,We-qatal-null clause
5550,c20661,We-qatal-null clause
5550,c20662,We-qatal-null clause
5551,c20663,We-qatal-null clause
5551,c20664,Nominal clause
5551,c20665,We-qatal-X clause
5551,c20666,We-qatal-null clause
5552,c20667,x-yiqtol-null clause
5552,c20668,x-yiqtol-null clause
5552,c20669,x-yiqtol-null clause
5552,c20670,Infinitive construct clause
5552,c20671,x-yiqtol-null clause
5552,c20672,We-qatal-X clause
5553,c20673,x-yiqtol-null clause
5553,c20674,Infinitive construct clause
5554,c20675,x-yiqtol-X clause
5554,c20676,We-qatal-X clause
5554,c20677,Nominal clause
5554,c20678,x-yiqtol-X clause
5554,c20679,X-yiqtol clause
5554,c20680,We-qatal-null clause
5554,c20681,We-qatal-null clause
5555,c20682,Macrosyntactic sign
5555,c20683,X-yiqtol clause
5555,c20684,x-yiqtol-null clause
5555,c20685,X-yiqtol clause
5555,c20686,We-x-yiqtol-X clause
5556,c20687,We-x-yiqtol-X clause
5556,c20688,Infinitive construct clause
5556,c20689,We-qatal-X clause
5556,c20690,We-qatal-null clause
5556,c20691,Zero-qatal-X clause
5556,c20692,Infinitive construct clause
5556,c20693,x-qatal-X clause
5556,c20694,Infinitive construct clause
5557,c20695,We-qatal-X clause
5557,c20696,We-qatal-null clause
5557,c20697,We-qatal-null clause
5557,c20698,We-qatal-null clause
5557,c20699,x-qatal-null clause
5557,c20700,Infinitive construct clause
5558,c20701,We-qatal-X clause
5558,c20702,We-qatal-null clause
5558,c20703,We-qatal-null clause
5558,c20704,We-qatal-null clause
5558,c20705,We-qatal-null clause
5558,c20706,x-yiqtol-null clause
5558,c20707,x-yiqtol-null clause
5559,c20708,We-qatal-X clause
5559,c20709,Ellipsis
5560,c20710,x-yiqtol-X clause
5560,c20711,We-qatal-X clause
5560,c20712,Infinitive construct clause
5560,c20713,We-qatal-null clause
5560,c20714,We-qatal-null clause
5561,c20715,We-qatal-null clause
5561,c20716,x-yiqtol-X clause
5562,c20717,x-yiqtol-X clause
5563,c20718,x-yiqtol-X clause
5564,c20719,X-yiqtol clause
5564,c20720,X-yiqtol clause
5564,c20721,x-yiqtol-X clause
5564,c20722,Participle clause
5565,c20723,Nominal clause
5566,c20724,Infinitive absolute clause
5566,c20725,x-qatal-X clause
5566,c20726,Infinitive construct clause
5567,c20727,x-qatal-null clause
5567,c20728,Wayyiqtol-null clause
5567,c20729,Participle clause
5567,c20730,Adjective clause
5567,c20731,We-x-qatal-null clause
5568,c20732,Macrosyntactic sign
5568,c20733,Infinitive construct clause
5568,c20734,Participle clause
5568,c20735,Infinitive construct clause
5568,c20736,x-yiqtol-null clause
5568,c20737,x-yiqtol-null clause
5569,c20738,We-qatal-null clause
5569,c20739,x-yiqtol-null clause
5569,c20740,Participle clause
5569,c20741,We-qatal-null clause
5569,c20742,We-qatal-null clause
5570,c20743,We-qatal-null clause
5570,c20744,x-yiqtol-null clause
5570,c20745,Participle clause
5570,c20746,We-qatal-null clause
5570,c20747,We-qatal-null clause
5570,c20748,x-yiqtol-X clause
5570,c20749,Infinitive construct clause
5571,c20750,We-qatal-null clause
5571,c20751,x-yiqtol-null clause
5571,c20752,We-qatal-null clause
5571,c20753,Zero-qatal-null clause
5571,c20754,x-qatal-null clause
5571,c20755,x-qatal-X clause
5571,c20756,Infinitive construct clause
5572,c20757,We-qatal-X clause
5572,c20758,We-qatal-null clause
5573,c20759,We-qatal-null clause
5573,c20760,We-qatal-null clause
5573,c20761,Nominal clause
5573,c20762,Wayyiqtol-null clause
5573,c20763,Wayyiqtol-null clause
5573,c20764,Wayyiqtol-null clause
5574,c20765,Wayyiqtol-X clause
5574,c20766,Wayyiqtol-null clause
5574,c20767,Wayyiqtol-null clause
5575,c20768,Wayyiqtol-null clause
5575,c20769,Wayyiqtol-X clause
5575,c20770,Wayyiqtol-null clause
5576,c20771,Wayyiqtol-X clause
5577,c20772,Wayyiqtol-null clause
5577,c20773,Wayyiqtol-null clause
5578,c20774,Macrosyntactic sign
5578,c20775,x-qatal-null clause
5578,c20776,x-qatal-null clause
5578,c20777,Vocative clause
5578,c20778,We-qatal-null clause
5578,c20779,We-qatal-null clause
5579,c20780,We-qatal-X clause
5579,c20781,x-qatal-X clause
5579,c20782,We-qatal-X clause
5579,c20783,Nominal clause
5580,c20784,x-yiqtol-null clause
5580,c20785,Infinitive construct clause
5580,c20786,We-qatal-null clause
5580,c20787,We-qatal-null clause
5580,c20788,We-qatal-null clause
5581,c20789,We-qatal-null clause
5581,c20790,Zero-qatal-null clause
5581,c20791,We-x-qatal-null clause
5581,c20792,x-qatal-null clause
5581,c20793,x-qatal-null clause
5581,c20794,We-x-qatal-null clause
5582,c20795,x-qatal-null clause
5582,c20796,We-x-qatal-null clause
5582,c20797,We-x-qatal-null clause
5582,c20798,Zero-qatal-null clause
5582,c20799,Zero-qatal-null clause
5582,c20800,x-qatal-null clause
5583,c20801,Zero-imperative-null clause
5583,c20802,We-imperative-null clause
5583,c20803,x-qatal-null clause
5583,c20804,x-qatal-null clause
5583,c20805,We-imperative-null clause
5584,c20806,Participle clause
5584,c20807,Infinitive construct clause
5584,c20808,We-qatal-null clause
5584,c20809,We-qatal-null clause
5585,c20810,x-qatal-null clause
5585,c20811,Infinitive construct clause
5585,c20812,Infinitive construct clause
5585,c20813,Infinitive construct clause
5585,c20814,Infinitive construct clause
5586,c20815,We-X-qatal clause
5586,c20816,Infinitive construct clause
5586,c20817,x-qatal-null clause
5586,c20818,Infinitive construct clause
5587,c20819,Infinitive construct clause
5587,c20820,x-qatal-null clause
5587,c20821,Ellipsis
5587,c20822,Infinitive construct clause
5587,c20823,x-qatal-null clause
5588,c20824,Wayyiqtol-X clause
5588,c20825,Infinitive construct clause
5588,c20826,Infinitive absolute clause
5588,c20827,Participle clause
5589,c20828,We-qatal-null clause
5589,c20829,x-yiqtol-null clause
5589,c20830,Participle clause
5589,c20831,We-qatal-null clause
5589,c20832,We-qatal-null clause
5590,c20833,We-qatal-null clause
5590,c20834,Infinitive construct clause
5590,c20835,x-yiqtol-null clause
5590,c20836,Participle clause
5590,c20837,x-yiqtol-null clause
5590,c20838,x-qatal-X clause
5591,c20839,Macrosyntactic sign
5591,c20840,Infinitive construct clause
5591,c20841,x-yiqtol-null clause
5591,c20842,Participle clause
5591,c20843,x-yiqtol-null clause
5591,c20844,We-qatal-null clause
5592,c20845,We-qatal-null clause
5592,c20846,Ellipsis
5592,c20847,x-yiqtol-null clause
5593,c20848,x-yiqtol-null clause
5593,c20849,We-qatal-null clause
5594,c20850,We-qatal-null clause
5594,c20851,We-qatal-null clause
5594,c20852,We-qatal-null clause
5595,c20853,We-qatal-null clause
5595,c20854,Infinitive absolute clause
5596,c20855,Wayyiqtol-X clause
5596,c20856,Infinitive construct clause
5596,c20857,Zero-imperative-null clause
5596,c20858,We-imperative-null clause
5596,c20859,Vocative clause
5596,c20860,x-qatal-null clause
5597,c20861,We-qatal-null clause
5597,c20862,We-qatal-null clause
5597,c20863,Participle clause
5598,c20864,Wayyiqtol-X clause
5598,c20865,Infinitive construct clause
5599,c20866,X-yiqtol clause
5599,c20867,Infinitive construct clause
5599,c20868,X-yiqtol clause
5599,c20869,Infinitive construct clause
5599,c20870,Nominal clause
5600,c20871,We-X-yiqtol clause
5600,c20872,Nominal clause
5601,c20873,We-qatal-X clause
5601,c20874,We-qatal-null clause
5602,c20875,Adjective clause
5602,c20876,x-yiqtol-null clause
5602,c20877,We-qatal-null clause
5602,c20878,We-qatal-X clause
5602,c20879,We-qatal-null clause
5602,c20880,Nominal clause
5603,c20881,Participle clause
5603,c20882,Participle clause
5603,c20883,We-qatal-X clause
5603,c20884,Nominal clause
5604,c20885,Participle clause
5604,c20886,Participle clause
5604,c20887,We-qatal-X clause
5604,c20888,Nominal clause
5605,c20889,Participle clause
5605,c20890,Participle clause
5605,c20891,We-qatal-X clause
5605,c20892,Nominal clause
5606,c20893,Participle clause
5606,c20894,Participle clause
5606,c20895,We-qatal-X clause
5606,c20896,Nominal clause
5607,c20897,Participle clause
5607,c20898,Participle clause
5607,c20899,x-qatal-null clause
5607,c20900,We-qatal-X clause
5607,c20901,Nominal clause
5608,c20902,Participle clause
5608,c20903,Participle clause
5608,c20904,We-qatal-X clause
5608,c20905,Nominal clause
5609,c20906,Participle clause
5609,c20907,Participle clause
5609,c20908,We-qatal-X clause
5609,c20909,Nominal clause
5610,c20910,Participle clause
5610,c20911,Participle clause
5610,c20912,We-qatal-X clause
5610,c20913,Nominal clause
5611,c20914,Participle clause
5611,c20915,Participle clause
5611,c20916,We-qatal-X clause
5611,c20917,Nominal clause
5612,c20918,Participle clause
5612,c20919,Participle clause
5612,c20920,Infinitive construct clause
5612,c20921,We-qatal-X clause
5612,c20922,Nominal clause
5613,c20923,Participle clause
5613,c20924,x-yiqtol-null clause
5613,c20925,Infinitive construct clause
5613,c20926,We-qatal-X clause
5613,c20927,Nominal clause
5614,c20928,Macrosyntactic sign
5614,c20929,x-yiqtol-null clause
5614,c20930,Infinitive construct clause
5614,c20931,Infinitive construct clause
5614,c20932,Participle clause
5614,c20933,We-qatal-X clause
5615,c20934,We-qatal-X clause
5615,c20935,We-qatal-null clause
5615,c20936,x-yiqtol-null clause
5616,c20937,Participle clause
5616,c20938,Participle clause
5617,c20939,Participle clause
5618,c20940,Participle clause
5619,c20941,Participle clause
5619,c20942,Infinitive construct clause
5619,c20943,Participle clause
5619,c20944,Infinitive construct clause
5620,c20945,Zero-yiqtol-X clause
5620,c20946,Participle clause
5620,c20947,Participle clause
5620,c20948,x-yiqtol-null clause
5620,c20949,We-x-yiqtol-null clause
5621,c20950,Zero-yiqtol-X clause
5621,c20951,We-qatal-null clause
5621,c20952,Participle clause
5622,c20953,Zero-yiqtol-X clause
5622,c20954,x-qatal-null clause
5622,c20955,x-yiqtol-null clause
5622,c20956,We-qatal-null clause
5623,c20957,We-qatal-X clause
5623,c20958,X-qatal clause
5623,c20959,We-qatal-null clause
5624,c20960,We-qatal-X clause
5624,c20961,x-qatal-X clause
5624,c20962,Infinitive construct clause
5625,c20963,Zero-yiqtol-X clause
5625,c20964,Infinitive construct clause
5625,c20965,Infinitive construct clause
5625,c20966,We-qatal-null clause
5625,c20967,We-X-yiqtol clause
5626,c20968,We-qatal-X clause
5626,c20969,Ellipsis
5626,c20970,We-qatal-null clause
5626,c20971,We-x-yiqtol-null clause
5626,c20972,x-yiqtol-null clause
5626,c20973,Participle clause
5626,c20974,Infinitive construct clause
5626,c20975,Infinitive construct clause
5627,c20976,We-x-yiqtol-null clause
5627,c20977,Participle clause
5627,c20978,We-x-yiqtol-null clause
5627,c20979,Infinitive construct clause
5627,c20980,Infinitive construct clause
5628,c20981,Macrosyntactic sign
5628,c20982,x-yiqtol-null clause
5628,c20983,Infinitive construct clause
5628,c20984,Infinitive construct clause
5628,c20985,Participle clause
5628,c20986,We-qatal-X clause
5628,c20987,We-qatal-null clause
5629,c20988,Participle clause
5629,c20989,Participle clause
5630,c20990,Participle clause
5631,c20991,Participle clause
5632,c20992,Participle clause
5632,c20993,Infinitive construct clause
5632,c20994,Participle clause
5632,c20995,Infinitive construct clause
5633,c20996,Zero-yiqtol-X clause
5633,c20997,x-yiqtol-null clause
5633,c20998,Infinitive construct clause
5633,c20999,Infinitive construct clause
5633,c21000,x-qatal-null clause
5634,c21001,Zero-yiqtol-X clause
5634,c21002,Infinitive construct clause
5634,c21003,Participle clause
5634,c21004,Infinitive construct clause
5635,c21005,Zero-yiqtol-X clause
5635,c21006,We-qatal-null clause
5635,c21007,Infinitive construct clause
5636,c21008,We-qatal-X clause
5636,c21009,Nominal clause
5636,c21010,We-qatal-X clause
5636,c21011,Ellipsis
5636,c21012,Nominal clause
5636,c21013,Ellipsis
5637,c21014,Zero-yiqtol-X clause
5637,c21015,x-yiqtol-null clause
