WLCverse,curr,ctype
50,c207,x-yiqtol-null clause
50,c208,Casus pendens
50,c209,x-yiqtol-X clause
50,c210,Nominal clause
51,c211,Wayyiqtol-X clause
51,c212,We-x-qatal-null clause
52,c213,Wayyiqtol-X clause
52,c214,Wayyiqtol-null clause
52,c215,Wayyiqtol-null clause
52,c216,Wayyiqtol-null clause
53,c217,Wayyiqtol-X clause
53,c218,x-qatal-null clause
53,c219,Wayyiqtol-X clause
53,c220,Wayyiqtol-null clause
54,c221,Wayyiqtol-X clause
54,c222,Nominal clause
54,c223,x-yiqtol-null clause
54,c224,x-qatal-X clause
55,c225,x-yiqtol-X clause
55,c226,We-qatal-null clause
55,c227,We-qatal-null clause
56,c228,Wayyiqtol-X clause
56,c229,We-x-yiqtol-null clause
57,c230,We-X-qatal clause
57,c231,x-qatal-X clause
57,c232,Wayyiqtol-null clause
57,c233,x-qatal-X clause
57,c234,x-yiqtol-null clause
58,c235,Wayyiqtol-X clause
58,c236,x-yiqtol-null clause
59,c237,Casus pendens
59,c238,Nominal clause
59,c239,Zero-qatal-X clause
59,c240,x-yiqtol-null clause
59,c241,We-x-yiqtol-null clause
59,c242,x-yiqtol-null clause
60,c243,Wayyiqtol-X clause
60,c244,x-yiqtol-null clause
61,c245,Participle clause
61,c246,Casus pendens
61,c247,Infinitive construct clause
61,c248,We-qatal-X clause
61,c249,We-qatal-null clause
61,c250,Nominal clause
62,c251,Wayyiqtol-X clause
62,c252,Adjective clause
62,c253,Nominal clause
62,c254,Participle clause
62,c255,Infinitive construct clause
62,c256,Wayyiqtol-null clause
62,c257,Wayyiqtol-null clause
62,c258,Wayyiqtol-null clause
62,c259,Wayyiqtol-null clause
63,c260,Wayyiqtol-X clause
63,c261,Wayyiqtol-null clause
63,c262,Adjective clause
63,c263,Wayyiqtol-null clause
63,c264,Wayyiqtol-null clause
64,c265,Wayyiqtol-null clause
64,c266,Participle clause
64,c267,Wayyiqtol-X clause
65,c268,Wayyiqtol-X clause
65,c269,Wayyiqtol-null clause
65,c270,Nominal clause
66,c271,Wayyiqtol-null clause
66,c272,x-qatal-null clause
66,c273,Wayyiqtol-null clause
66,c274,Adjective clause
66,c275,Wayyiqtol-null clause
67,c276,Wayyiqtol-null clause
67,c277,X-qatal clause
67,c278,Adjective clause
67,c279,x-qatal-null clause
67,c280,x-qatal-null clause
67,c281,Infinitive construct clause
67,c282,x-qatal-null clause
68,c283,Wayyiqtol-X clause
68,c284,Casus pendens
68,c285,x-qatal-null clause
68,c286,X-qatal clause
68,c287,Wayyiqtol-null clause
69,c288,Wayyiqtol-X clause
69,c289,x-qatal-null clause
69,c290,Wayyiqtol-X clause
69,c291,X-qatal clause
69,c292,Wayyiqtol-null clause
70,c293,Wayyiqtol-X clause
70,c294,x-qatal-null clause
70,c295,Participle clause
70,c296,x-yiqtol-null clause
70,c297,We-x-yiqtol-null clause
71,c298,We-x-yiqtol-null clause
71,c299,X-yiqtol clause
71,c300,We-X-yiqtol clause
72,c301,x-qatal-null clause
72,c302,x-yiqtol-null clause
72,c303,x-yiqtol-null clause
72,c304,Nominal clause
72,c305,We-X-yiqtol clause
73,c306,We-x-qatal-null clause
73,c307,x-qatal-null clause
73,c308,Wayyiqtol-null clause
73,c309,x-qatal-null clause
73,c310,Infinitive construct clause
73,c311,x-yiqtol-null clause
73,c312,Participle clause
73,c313,x-yiqtol-null clause
74,c314,We-x-yiqtol-null clause
74,c315,We-qatal-null clause
75,c316,x-yiqtol-null clause
75,c317,Infinitive construct clause
75,c318,x-qatal-null clause
75,c319,Nominal clause
75,c320,We-x-yiqtol-null clause
76,c321,Wayyiqtol-X clause
76,c322,X-qatal clause
77,c323,Wayyiqtol-X clause
